การใช้สิทธิเลือกตั้งสมาชิกสภาผู้แทนราษฎร แบบแบ่งเขตเลือกตั้ง,,,,,,,,
จำแนกตามจังหวัด,,,,,,,,
,,,,,,,,
ลำดับ,จังหวัด,ผู้มีสิทธิเลือกตั้ง,ผู้ใช้สิทธิเลือกตั้ง,ร้อยละ,บัตรเสีย,ร้อยละ,บัตรไม่เลือกผู้สมัครผู้ใด,ร้อยละ
1,กรุงเทพมหานคร,"4,489,223","3,255,232",72.51,"91,452",2.81,"61,664",1.89
2,กระบี่,"342,650","272,672",79.58,"12,943",4.75,"4,794",1.76
3,กาญจนบุรี,"627,778","480,912",76.61,"34,520",7.18,"7,943",1.65
4,กาฬสินธุ์,"791,407","551,873",69.73,"31,065",5.63,"5,142",0.93
5,กำแพงเพชร,"563,659","406,879",72.19,"36,329",8.93,"5,486",1.35
6,ขอนแก่น,"1,440,935","1,037,058",71.97,"55,370",5.34,"10,813",1.04
7,จันทบุรี,"420,077","321,118",76.44,"22,039",6.86,"7,192",2.24
8,ฉะเชิงเทรา,"555,645","439,363",79.07,"29,994",6.83,"7,092",1.61
9,ชลบุรี,"1,152,874","859,440",74.55,"41,468",4.83,"16,631",1.94
10,ชัยนาท,"264,917","206,339",77.89,"16,075",7.79,"3,198",1.55
11,ชัยภูมิ,"896,111","638,535",71.26,"44,270",6.93,"6,222",0.97
12,ชุมพร,"395,813","308,463",77.93,"14,133",4.58,"6,343",2.06
13,เชียงราย,"931,666","724,759",77.79,"41,740",5.76,"8,979",1.24
14,เชียงใหม่,"1,303,580","1,086,307",83.33,"61,380",5.65,"16,227",1.49
15,ตรัง,"489,798","393,985",80.44,"17,386",4.41,"10,854",2.75
16,ตราด,"172,019","127,357",74.04,"7,045",5.53,"2,428",1.91
17,ตาก,"386,083","296,563",76.81,"24,686",8.32,"5,872",1.98
18,นครนายก,"205,953","157,937",76.69,"5,858",3.71,"3,582",2.27
19,นครปฐม,"726,398","571,815",78.72,"27,231",4.76,"11,945",2.09
20,นครพนม,"553,476","383,030",69.20,"22,072",5.76,"2,869",0.75
21,นครราชสีมา,"2,080,476","1,563,935",75.17,"101,182",6.47,"23,046",1.47
22,นครศรีธรรมราช,"1,199,779","896,391",74.71,"50,932",5.68,"19,846",2.21
23,นครสวรรค์,"840,046","620,565",73.87,"44,276",7.13,"8,537",1.38
24,นนทบุรี,"992,876","761,081",76.65,"22,119",2.91,"16,941",2.23
25,นราธิวาส,"550,645","435,451",79.08,"32,162",7.39,"4,945",1.14
26,น่าน,"387,773","310,262",80.01,"16,728",5.39,"4,580",1.48
27,บึงกาฬ,"320,479","222,721",69.50,"13,446",6.04,"1,603",0.72
28,บุรีรัมย์,"1,224,050","850,756",69.50,"62,193",7.31,"12,734",1.50
29,ปทุมธานี,"890,111","680,640",76.47,"29,074",4.27,"12,052",1.77
30,ประจวบคีรีขันธ์,"415,578","310,115",74.62,"15,038",4.85,"5,105",1.65
31,ปราจีนบุรี,"385,337","302,608",78.53,"14,788",4.89,"4,742",1.57
32,ปัตตานี,"488,162","387,213",79.32,"26,387",6.81,"3,872",1.00
33,พระนครศรีอยุธยา,"645,467","518,100",80.27,"35,052",6.77,"9,586",1.85
34,พะเยา,"391,849","308,616",78.76,"14,355",4.65,"4,323",1.40
35,พังงา,"202,234","155,904",77.09,"7,423",4.76,"3,688",2.37
36,พัทลุง,"409,265","340,788",83.27,"14,312",4.20,"6,567",1.93
37,พิจิตร,"430,402","304,329",70.71,"25,792",8.48,"3,909",1.28
38,พิษณุโลก,"689,069","510,870",74.14,"34,415",6.74,"10,301",2.02
39,เพชรบุรี,"380,759","310,139",81.45,"18,363",5.92,"5,727",1.85
40,เพชรบูรณ์,"778,923","565,111",72.55,"43,650",7.72,"8,597",1.52
41,แพร่,"372,901","294,629",79.01,"17,142",5.82,"16,058",5.45
42,ภูเก็ต,"294,236","210,966",71.70,"8,235",3.90,"6,052",2.87
43,มหาสารคาม,"774,205","557,400",72.00,"27,709",4.97,"4,653",0.83
44,มุกดาหาร,"270,637","203,325",75.13,"12,900",6.34,"2,116",1.04
45,แม่ฮ่องสอน,"173,490","144,801",83.46,"9,300",6.42,"1,884",1.30
46,ยโสธร,"427,583","304,197",71.14,"14,352",4.72,"2,210",0.73
47,ยะลา,"364,174","292,824",80.41,"19,897",6.79,"4,405",1.50
48,ร้อยเอ็ด,"1,046,181","728,021",69.59,"37,389",5.14,"5,384",0.74
49,ระนอง,"135,286","101,809",75.25,"5,033",4.94,"1,998",1.96
50,ระยอง,"543,006","409,278",75.37,"26,675",6.52,"8,737",2.13
51,ราชบุรี,"673,013","551,379",81.93,"30,536",5.54,"9,476",1.72
52,ลพบุรี,"597,139","450,934",75.52,"28,410",6.30,"8,449",1.87
53,ลำปาง,"622,169","498,106",80.06,"30,113",6.05,"8,473",1.70
54,ลำพูน,"332,838","290,702",87.34,"15,078",5.19,"4,324",1.49
55,เลย,"499,460","392,124",78.51,"25,895",6.60,"4,350",1.11
56,ศรีสะเกษ,"1,141,399","809,357",70.91,"53,319",6.59,"7,083",0.88
57,สกลนคร,"889,192","610,938",68.71,"36,647",6.00,"6,517",1.07
58,สงขลา,"1,063,787","841,537",79.11,"46,368",5.51,"22,025",2.62
59,สตูล,"231,150","190,292",82.32,"10,452",5.49,"2,865",1.51
60,สมุทรปราการ,"1,031,792","787,002",76.28,"30,448",3.87,"13,820",1.76
61,สมุทรสงคราม,"156,971","119,874",76.37,"5,321",4.44,"2,466",2.06
62,สมุทรสาคร,"423,745","323,781",76.41,"15,460",4.77,"6,893",2.13
63,สระแก้ว,"425,987","317,752",74.59,"16,919",5.32,"3,663",1.15
64,สระบุรี,"498,593","403,163",80.86,"27,083",6.72,"8,015",1.99
65,สิงห์บุรี,"169,561","133,662",78.83,"6,156",4.61,"2,320",1.74
66,สุโขทัย,"480,022","356,851",74.34,"21,708",6.08,"4,771",1.34
67,สุพรรณบุรี,"674,067","523,688",77.69,"32,442",6.19,"5,646",1.08
68,สุราษฎร์ธานี,"805,908","616,266",76.47,"28,935",4.70,"12,146",1.97
69,สุรินทร์,"1,073,034","738,762",68.85,"49,301",6.67,"7,160",0.97
70,หนองคาย,"403,415","270,467",67.04,"16,694",6.17,"2,965",1.10
71,หนองบัวลำภู,"397,004","268,704",67.68,"14,716",5.48,"2,183",0.81
72,อ่างทอง,"225,504","174,381",77.33,"10,949",6.28,"2,984",1.71
73,อำนาจเจริญ,"296,682","214,329",72.24,"11,152",5.20,"2,128",0.99
74,อุดรธานี,"1,224,832","830,640",67.82,"49,825",6.00,"8,443",1.02
75,อุตรดิตถ์,"369,079","272,412",73.81,"15,895",5.83,"4,494",1.65
76,อุทัยธานี,"259,440","193,441",74.56,"11,795",6.10,"2,833",1.46
77,อุบลราชธานี,"1,433,296","1,038,618",72.46,"58,770",5.66,"11,167",1.08
รวมทั้งหมด,,"51,214,120","38,341,644",74.87,"2,137,762",5.58,"607,133",1.58